author,year,date_mm_dd,content,word_count
wesley,1763,04-23,"C[oventry], cried out, ‘ We will not be brow-beaten any longer; we will throw off the mask.’ Accordingly, a few days after, she came, and, before a hundred persons, brought me hers and her husband’s tickets, and said, ‘Sir, we will have no more to do with you; Mr. M[axfield] is our teacher.’ Soon after several more left the society (one of whom was George Bell), saying, ‘Blind John is not capable of teaching us; we will keep to Mr. M[axfield].’ 14. From the time that I heard of George Bell’s prophecy I explicitly declared against it both in private, in the society, in preaching, over and over ; and, at length, in the public papers. Mr. M [ax- field] made no such declaration ; I have reason to think he believed it.2 I know many of his friends did, and several of them sat up the last of February, at the house of his most intimate friend, Mr. Biggs3 in full expectation of the accomplishment. 15. About this time one of our stewards, who, at my desire, took the chapel in Snowsfields for my use, sent me word the chapel was his, and Mr. Bell should exhort there, whether I would or no. Upon this 1 desired the next preacher there to inform the congregation that, while things stood thus, neither I nor our preachers could in conscience preach there any more. 16. Nevertheless, Mr. M[axfield] did preach there. On this I sent him a note, desiring him not to do it ; and adding, ‘ If you do, you thereby renounce connexion with me.’ 17. Receiving this, he said, ‘I will preach at Snowsfields.’ He did so, and thereby renounced connexion. On this point, and no other, we divided ; by this act the knot was cut.",299
wesley,1763,04-23,"Resolving to do this, he told Mr. Clementson, ‘ I am to preach at the Foundery no more.’ 1 Evidently a mistake for 1762. March 6 (IVorks, vol. xii. p. 125). Maxfield, however, in his Vindication, published in 1767, says that at Wapping, after Bell had done speaking, 1 1 stood up and set aside all that he had said about it.’ 3 ‘July 18, 1761, Saturday. — We had a good time at the meeting this morning at brother Biggs’s. Mr. Fletcher was with us ’ ( Life of Mrs. Fletcher, p. 373). Murlin says ( EM.P . vol. iii. p. 298): ‘Here [Whitehaven] I met with a companion, who for three or four years was inseparable from me. His name was Benjamin Biggs, a favourite servant of the late Sir James Lowther ; with him I embarked in July, 1758, for Liverpool. But the captain deceived us, and carried us to the Isle of Man. Here we stayed a week.’ May 1763.] London to Newcastle and Scotland 18. From this time he has spoke all manner of evil of me, his father, his friend, his greatest earthly benefactor. I cite Mr. F[letcher] 1 for one witness of this, and Mr. M[ada]n for another. Did he speak evil of me to Mr. F[letcher] one day only ? Nay, but every day for six weeks together. To Mr. M[ada]n he said (among a thousand other things, which he had been twenty years raking together), 4 Mr. W[esley] believed and countenanced all which Mr.",253
wesley,1763,04-23,"Bell said ; and the reason of our parting was this : he said to me one day, “Tommy, I will tell the people you are the greatest gospel preacher in England ; and you shall tell them I am the greatest.” For refusing to do this, Mr. W[esley] put me away ! ’ Now, with perfect calmness, and, I verily think, without the least touch of prejudice, I refer to your own judgement what connexion I ought to have with Mr. M[axfield], either till I am satisfied these things are not so, or till he is thoroughly sensible of his fault. May 2, Monday , and the following days, I was fully employed in visiting the society, and settling the minds of those who had been confused and distressed by a thousand misrepresentations. Indeed, a flood of calumny and evilspeaking (as was easily foreseen) was poured out on every side. My point was still to go straight forward in the work whereto I am called.2",166
wesley,1763,04-16,"Setting out a month later than usual, I judged it needful to make the more haste ; so I took post-chaises, and by that means easily reached Newcastle on Wednesday the 18th.3 Thence I went on at leisure, and came to Edinburgh on Saturday the 21st. The next day I had the satisfaction of spending a little time with Mr. Whitefield. Humanly speaking, he is worn out ; but we have to do with Him who hath all power in heaven and earth.4",83
wesley,1763,04-23,"I rode to Forfar, and on Tuesday the 24th rode on to Aberdeen.5 and Bell ( Life of the Countess of Huntingdon, vol. i. pp. 321-2). Madan was in London and Brighton at this time. 2 On May 12 he wrote to Mrs. Maitland (IV irks, vol. xii. p. 257). 8 The distance is 274 miles. At this time the Newcastle Fly was carrying passengers in three days for 6s. For this journey Wesley must have paid about £12 for his post-chaises, the rate being gd. per mile, besides gratuities to the post-boys. See W.H.S. vol. vii. pp. 51-2. 4 Whitefield had intended to embark for America about the middle of April, but was detained in Scotland by illness until June 4. See Tyerman’s Life of Whitefield, vol. ii. p. 465. 14 John Wesley's Journal [Mayi763.",136
wesley,1763,04-25,"I inquired into the state of things here. Surely never was there a more open door. The four ministers of Aberdeen, the minister of the adjoining town, and the three ministers of Old Aberdeen, hitherto seem to have no dislike, but rather to wish us ‘ good luck in the name of the Lord.’ Most of the townspeople as yet seem to wish us well ; so that there is no open opposition of any kind. Oh what spirit ought a preacher to be of, that he may be able to bear all this sunshine ! About noon I went to Gordon’s Hospital, built near the town for poor children. It is an exceeding handsome building, and (what is not common) kept exceeding clean. The gardens are pleasant, well laid out, and in extremely good order ; but the old bachelor who founded it has expressly provided that no woman should ever be there. At seven, the evening being fair and mild, I preached to a multitude of people, in the College Close, on ‘ Stand in the ways and see, and ask for the old paths.’ But the next evening, the weather being raw and cold, I preached in the College Hall. What an amazing willingness to hear runs through this whole kingdom ! There want only a few zealous, active labourers, who desire nothing but God ; and they might soon carry the gospel through all this country, even as high as the Orkneys.1",246
wesley,1763,04-27,"I set out for Edinburgh again. About one I preached at Brechin. All were deeply attentive. Perhaps a few may not be forgetful hearers. Afterwards we rode on to Broughty Castle, two or three miles below Dundee. We were in hopes of passing the river here, though we could not at the town ; but we found our horses could not pass till eleven or twelve at night. So we judged it would be best to go over ourselves and leave them behind. In a little time we procured a kind of a boat, about half as long as a London wherry, and three or four feet broad. Soon after we had put off I perceived it leaked on all sides, nor had we anything to lade out the water. When we came toward the middle of the river, which was three 1 On May 26 he wrote to Jane E. Freeman, of Dublin ( IV.H.S , vol. viii. Lee before her marriage to Mr. James p. 168 ; cf. ib. 98). June 1763.] Edinburgh to Sunderland miles over, the wind being high and the water rough, our boatmen seemed a little surprised ; but we encouraged them to pull away, and in less than half an hour we landed safe. Our horses were brought after us, and the next day we rode on to King- horn Ferry, and had a pleasant passage to Leith.",235
wesley,1763,04-29,"I preached at seven in the High School yard at Edinburgh.1 It being the time of the General Assembly, which drew together, not the ministers only, but abundance of the nobility and gentry, many of both sorts were present ; but abundantly more at five in the afternoon. I spoke as plain as ever I did in my life ; but I never knew any in Scotland offended at plain dealing. In this respect the North Britons are a pattern to all mankind.",83
wesley,1763,04-30,"I rode to Dunbar. In the evening it was very cold, and the wind was exceeding high ; nevertheless, I would not pen myself up in the room, but resolved to preach in the open air. We saw the fruit ; many attended, notwithstanding the cold, who never set foot in the room ; and I am still persuaded much good will be done here, if we have zeal and patience.",71
wesley,1763,04-31,"I rode to Alnwick, and was much refreshed among a people who have not the form only, but the spirit, of religion, fellowship with God, the living power of faith divine. JUNE i, Wed. — I went on to Morpeth, and preached in a ground near the town to far the most serious congregation which I had ever seen there. At one I preached to the loving colliers in Plessey, and in the evening at Newcastle.",76
wesley,1763,05-04,"1 rode, though much out of order, to Sunderland, and preached in the evening at the room. I was much worse in the night, but toward morning fell into a sound sleep, and was refreshed.",35
wesley,1763,06-05,"I designed to preach abroad this morning, but the wind and rain hindered. So at eight I preached in the room 1 Lady Frances Gardiner, widow of yard the morning you left Edinburgh ; Colonel Gardiner, heard Wesley preach and it pleased God, even after I had on this occasion. In a letter to Wesley got home, to follow part of your sermon dated Edinburgh, July 25, 1763, she with a blessing to me’ (Moore’s Life of says, ‘ I ventured to the High School Wesley , vol. ii. p. 249). John Wesley’s Journal [June 1763. I 6 again, purposing to preach in the street at noon ; but Mr. Good- day 1 sent me word he was taken ill in the night, and begged I would supply his church. So at ten I began reading prayers, though I was so exceeding weak that my voice could scarce be heard ; but as I went on I grew stronger, and before I had half done preaching I suppose all in the church could hear. The wind drove us into the house at Newcastle likewise ; that is, as many as the house would contain ; but great numbers were constrained to stand in the yard. However, I suppose all could hear ; for my weakness was entirely gone while I was enforcing those important words, ‘ If thou canst believe, all things are possible to him that believeth.’",238
wesley,1763,06-06,"I rode to Barnard Castle, and preached in the evening, but to such a congregation, not only with respect to number, but to seriousness and composure, as I never saw there before. I intended after preaching to meet the society ; but the bulk of the people were so eager to hear more that I could not forbear letting in almost as many as the room would hold ; and it was a day of God’s power. They all seemed to take the kingdom by violence, while they besieged Heaven with vehement prayer.",93
